https://coinmarketcap.com/currencies/bitcoin/historical-data/,,,,,,
Date,Open,High,Low,Close,Volume,Market_Cap
4-Mar-17,"1,277.43","1,279.40","1,230.51","1,255.15","183,270,000","20,688,799,744"
3-Mar-17,"1,250.71","1,280.31","1,250.71","1,274.99","315,739,008","20,253,700,096"
2-Mar-17,"1,224.68","1,262.13","1,215.62","1,251.01","368,275,008","19,829,800,960"
1-Mar-17,"1,180.04","1,222.50","1,179.69","1,222.50","229,056,992","19,104,800,768"
28-Feb-17,"1,180.72","1,193.25","1,171.82","1,179.97","184,956,000","19,113,598,976"
27-Feb-17,"1,163.78","1,181.98","1,163.38","1,179.97","131,570,000","18,837,299,200"
26-Feb-17,"1,144.27","1,167.47","1,130.20","1,165.20","116,486,000","18,518,900,736"
25-Feb-17,"1,170.41","1,174.85","1,124.59","1,143.84","139,960,992","18,939,500,544"
24-Feb-17,"1,172.71","1,200.39","1,131.96","1,173.68","330,759,008","18,974,400,512"
23-Feb-17,"1,117.27","1,176.62","1,116.96","1,166.72","189,454,000","18,075,199,488"
22-Feb-17,"1,114.80","1,125.39","1,100.55","1,117.44","136,100,000","18,033,399,808"
21-Feb-17,"1,079.28","1,117.25","1,076.93","1,115.30","186,868,992","17,456,900,096"
20-Feb-17,"1,048.69","1,080.49","1,041.69","1,079.98","109,478,000","16,960,199,680"
19-Feb-17,"1,054.76","1,056.81","1,043.46","1,047.87","77,423,296","17,056,600,064"
18-Feb-17,"1,049.21","1,061.10","1,046.96","1,054.42","99,073,504","16,964,800,512"
17-Feb-17,"1,026.12","1,053.17","1,025.64","1,046.21","136,474,000","16,589,599,744"
16-Feb-17,"1,007.65","1,033.37","1,007.65","1,027.44","122,277,000","16,289,099,776"
15-Feb-17,"1,006.21","1,008.84","1,001.58","1,007.48","89,759,400","16,264,099,840"
14-Feb-17,991.73,"1,011.51",986.47,"1,004.55","137,946,000","16,028,000,256"
13-Feb-17,998.89,"1,002.10",976,990.64,"100,607,000","16,141,500,416"
12-Feb-17,"1,003.52","1,004.76",996.92,999.18,"67,530,000","16,214,700,032"
11-Feb-17,988.9,"1,009.29",982.83,"1,004.45","102,261,000","15,976,699,904"
10-Feb-17,995.63,998.91,946.69,988.67,"190,452,000","16,083,600,384"
9-Feb-17,"1,064.70","1,088.99",953.34,994.38,"407,220,000","17,197,099,008"
8-Feb-17,"1,062.32","1,078.97","1,037.49","1,063.07","201,855,008","17,156,700,160"
7-Feb-17,"1,040.14","1,061.93","1,040.14","1,061.35","146,007,008","16,796,600,320"
6-Feb-17,"1,028.40","1,044.64","1,028.16","1,038.15","111,762,000","16,605,400,064"
5-Feb-17,"1,043.52","1,043.63","1,022.37","1,027.34","114,208,000","16,847,399,936"
4-Feb-17,"1,031.33","1,045.90","1,015.16","1,042.90","155,064,000","16,648,800,256"
3-Feb-17,"1,011.46","1,033.87","1,008.79","1,029.91","201,278,000","16,326,099,968"
2-Feb-17,990,"1,013.52",983.22,"1,011.80","145,820,992","15,977,799,680"
1-Feb-17,970.94,989.11,970.74,989.02,"150,110,000","15,667,900,416"
31-Jan-17,920.96,972.02,920.96,970.4,"164,582,000","14,859,700,224"
30-Jan-17,920.15,923.05,919.47,920.38,"78,227,296","14,844,900,352"
29-Jan-17,922.07,923.42,919.15,919.5,"60,851,700","14,874,000,384"
28-Jan-17,919.81,923.91,919.81,921.59,"68,979,600","14,835,800,064"
27-Jan-17,918.36,923.22,915.85,919.75,"125,594,000","14,810,399,744"
26-Jan-17,902.4,919.33,902.22,917.59,"131,958,000","14,551,199,744"
25-Jan-17,891.92,903.25,891.69,901.54,"120,831,000","14,380,699,648"
